2023-03-19 17:52:36.768 [main] INFO  calculator.Main - [SQ ROOT] - 3.0
2023-03-19 17:52:36.770 [main] INFO  calculator.Main - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-19 17:52:36.770 [main] INFO  calculator.Main - [SQ ROOT] - 4.0
2023-03-19 17:52:36.770 [main] INFO  calculator.Main - [RESULT - SQ ROOT] - 2.0
2023-03-19 17:52:36.771 [main] INFO  calculator.Main - [NATURAL LOG] - 1.0
2023-03-19 17:52:36.771 [main] INFO  calculator.Main - [RESULT - NATURAL LOG] - 0.0
2023-03-19 17:52:36.772 [main] INFO  calculator.Main - [NATURAL LOG] - 300.0
2023-03-19 17:52:36.772 [main] INFO  calculator.Main - [RESULT - NATURAL LOG] - 5.703782474656201
2023-03-19 17:52:36.772 [main] INFO  calculator.Main - [NATURAL LOG] - 2.4
2023-03-19 17:52:36.773 [main] INFO  calculator.Main - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-19 17:52:36.773 [main] INFO  calculator.Main - [NATURAL LOG] - 2.1
2023-03-19 17:52:36.773 [main] INFO  calculator.Main - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-19 17:52:36.773 [main] INFO  calculator.Main - [FACTORIAL] - 3
2023-03-19 17:52:36.774 [main] INFO  calculator.Main - [RESULT - FACTORIAL] - 6
2023-03-19 17:52:36.774 [main] INFO  calculator.Main - [FACTORIAL] - 6
2023-03-19 17:52:36.774 [main] INFO  calculator.Main - [RESULT - FACTORIAL] - 720
2023-03-19 17:52:36.774 [main] INFO  calculator.Main - [FACTORIAL] - 5
2023-03-19 17:52:36.775 [main] INFO  calculator.Main - [RESULT - FACTORIAL] - 120
2023-03-19 17:52:36.775 [main] INFO  calculator.Main - [FACTORIAL] - 10
2023-03-19 17:52:36.775 [main] INFO  calculator.Main - [RESULT - FACTORIAL] - 3628800
2023-03-19 17:52:36.776 [main] INFO  calculator.Main - [POWER - 2.0 RAISED TO] 5.0
2023-03-19 17:52:36.776 [main] INFO  calculator.Main - [RESULT - POWER] - 32.0
2023-03-19 17:52:36.776 [main] INFO  calculator.Main - [POWER - 9.0 RAISED TO] 2.0
2023-03-19 17:52:36.776 [main] INFO  calculator.Main - [RESULT - POWER] - 81.0
2023-03-19 17:52:36.777 [main] INFO  calculator.Main - [POWER - 2.0 RAISED TO] 2.0
2023-03-19 17:52:36.777 [main] INFO  calculator.Main - [RESULT - POWER] - 4.0
2023-03-19 17:52:36.777 [main] INFO  calculator.Main - [POWER - -2.0 RAISED TO] 20.0
2023-03-19 17:52:36.777 [main] INFO  calculator.Main - [RESULT - POWER] - 1048576.0
2023-03-19 17:52:36.778 [main] INFO  calculator.Main - [SQ ROOT] - 121.0
2023-03-19 17:52:36.778 [main] INFO  calculator.Main - [RESULT - SQ ROOT] - 11.0
2023-03-19 17:52:36.778 [main] INFO  calculator.Main - [SQ ROOT] - 14641.0
2023-03-19 17:52:36.779 [main] INFO  calculator.Main - [RESULT - SQ ROOT] - 121.0
